epoch, time, loss, acc, val_loss, val_acc
1 ,206s 69ms/step, 2.4886, 0.2745, 2.9201, 0.0871
2 ,198s 66ms/step, 1.9055, 0.3194, 3.0059, 0.0879
3 ,198s 66ms/step, 1.9007, 0.3191, 2.9956, 0.0892
4 ,196s 65ms/step, 1.8978, 0.3203, 2.9971, 0.0911
5 ,196s 65ms/step, 1.8941, 0.3222, 2.9913, 0.0919
6 ,196s 65ms/step, 1.8947, 0.3228, 2.9894, 0.0946
7 ,196s 65ms/step, 1.8897, 0.3250, 2.9765, 0.0955
8 ,197s 66ms/step, 1.8862, 0.3292, 2.9743, 0.1005
9 ,194s 65ms/step, 1.8826, 0.3304, 2.9737, 0.1005
10 ,198s 66ms/step, 1.8816, 0.3319, 2.9330, 0.1105
11 ,196s 65ms/step, 1.8817, 0.3314, 2.9518, 0.1060
12 ,194s 65ms/step, 1.8820, 0.3319, 3.0143, 0.0890
13 ,197s 66ms/step, 1.8944, 0.3222, 2.9494, 0.0944
14 ,194s 65ms/step, 1.8788, 0.3328, 2.9431, 0.1084
15 ,198s 66ms/step, 1.8695, 0.3394, 2.9251, 0.1132
16 ,196s 65ms/step, 1.9759, 0.3330, 3.3749, 0.0868
17 ,195s 65ms/step, 2.2499, 0.3073, 3.1119, 0.0868
18 ,195s 65ms/step, 1.9558, 0.3182, 3.0604, 0.0869
19 ,193s 64ms/step, 1.9273, 0.3190, 3.0422, 0.0868
20 ,192s 64ms/step, 1.9209, 0.3184, 3.0262, 0.0868
21 ,193s 64ms/step, 1.9146, 0.3186, 3.0174, 0.0866
22 ,192s 64ms/step, 1.9085, 0.3199, 3.0174, 0.0869
23 ,192s 64ms/step, 1.9084, 0.3185, 3.0060, 0.0868
24 ,195s 65ms/step, 1.9073, 0.3183, 3.0057, 0.0868
25 ,198s 66ms/step, 1.9032, 0.3194, 3.0029, 0.0869
