epoch, time, loss, acc, loss, acc
1 , 257s 64ms/step ,  1.7067 ,  0.4254 ,  2.7314 ,  0.1874
2 , 248s 62ms/step ,  1.5166 ,  0.4987 ,  2.6416 ,  0.2152
3 , 247s 62ms/step ,  1.4504 ,  0.5219 ,  2.5863 ,  0.2256
4 , 250s 63ms/step ,  1.4050 ,  0.5364 ,  2.5167 ,  0.2452
5 , 250s 62ms/step ,  1.3749 ,  0.5470 ,  2.6169 ,  0.2321
6 , 250s 62ms/step ,  1.3518 ,  0.5544 ,  2.5420 ,  0.2595
7 , 249s 62ms/step ,  1.3342 ,  0.5606 ,  2.3968 ,  0.2673
8 , 250s 62ms/step ,  1.3160 ,  0.5663 ,  2.3008 ,  0.2770
9 , 251s 63ms/step ,  1.3063 ,  0.5696 ,  2.2842 ,  0.2884
10 , 252s 63ms/step ,  1.2964 ,  0.5726 ,  2.3588 ,  0.2774
11 , 250s 62ms/step ,  1.2879 ,  0.5755 ,  2.3523 ,  0.2791
12 , 249s 62ms/step ,  1.2806 ,  0.5776 ,  2.4151 ,  0.2738
13 , 250s 62ms/step ,  1.2794 ,  0.5783 ,  2.3159 ,  0.2820
14 , 249s 62ms/step ,  1.2759 ,  0.5799 ,  2.4289 ,  0.2882
15 , 248s 62ms/step ,  1.2731 ,  0.5806 ,  2.3656 ,  0.2957
16 , 245s 61ms/step ,  1.2719 ,  0.5817 ,  2.3270 ,  0.2831
17 , 247s 62ms/step ,  1.2708 ,  0.5813 ,  2.2952 ,  0.2873
18 , 243s 61ms/step ,  1.2675 ,  0.5826 ,  2.3001 ,  0.2884
19 , 254s 64ms/step ,  1.2712 ,  0.5822 ,  2.4341 ,  0.2938
20 , 252s 63ms/step ,  1.2671 ,  0.5830 ,  2.3640 ,  0.2776
21 , 252s 63ms/step ,  1.2668 ,  0.5836 ,  2.3707 ,  0.2820
22 , 251s 63ms/step ,  1.2660 ,  0.5836 ,  2.3249 ,  0.2860
23 , ETA 344 ,  1.2621 ,  0.5870
